algo,blockSize,refPoints,popSize,iterations,ratioCO,ratioMutate
nsga3,10,200,121,65,0.0,1.0
nsga3,10,200,121,149,0.0,1.0
nsga3,10,200,121,56,0.0,1.0
nsga3,10,200,121,53,0.5,0.5
nsga3,10,200,121,109,0.5,0.5
nsga3,10,200,121,104,0.5,0.5
nsga3,10,200,121,58,0.9,0.09999999999999998
nsga3,10,200,121,100,0.9,0.09999999999999998
nsga3,10,200,121,103,0.9,0.09999999999999998
nsga3,15,300,256,255,0.0,1.0
nsga3,15,300,256,108,0.0,1.0
nsga3,15,300,256,74,0.0,1.0
nsga3,20,400,441,222,0.0,1.0
nsga3,20,400,441,222,0.0,1.0
nsga3,20,400,441,235,0.0,1.0
nsga3,25,500,676,223,0.0,1.0
nsga3,25,500,676,175,0.0,1.0
nsga3,25,500,676,354,0.0,1.0
nsga3,10,200,121,56,0.0,1.0
nsga3,10,200,121,69,0.0,1.0
nsga3,10,200,121,79,0.0,1.0
nsga3,15,300,256,96,0.0,1.0
nsga3,15,300,256,125,0.0,1.0
nsga3,15,300,256,132,0.0,1.0
nsga3,20,400,441,417,0.0,1.0
nsga3,20,400,441,198,0.0,1.0
nsga3,20,400,441,251,0.0,1.0
nsga3,25,500,676,295,0.0,1.0
nsga3,25,500,676,321,0.0,1.0
nsga3,25,500,676,356,0.0,1.0
nsga3,30,600,961,341,0.0,1.0
nsga3,30,600,961,233,0.0,1.0
nsga3,30,600,961,503,0.0,1.0
nsga3,10,200,121,76,0.5,0.5
nsga3,10,200,121,78,0.5,0.5
nsga3,10,200,121,69,0.5,0.5
nsga3,15,300,256,111,0.5,0.5
nsga3,15,300,256,138,0.5,0.5
nsga3,15,300,256,175,0.5,0.5
nsga3,20,400,441,235,0.5,0.5
nsga3,20,400,441,165,0.5,0.5
nsga3,20,400,441,436,0.5,0.5
nsga3,25,500,676,367,0.5,0.5
nsga3,10,200,121,105,0.9,0.09999999999999998
nsga3,10,200,121,129,0.9,0.09999999999999998
nsga3,10,200,121,78,0.9,0.09999999999999998
nsga3,15,300,256,467,0.9,0.09999999999999998
nsga3,15,300,256,489,0.9,0.09999999999999998
nsga3,15,300,256,202,0.9,0.09999999999999998
nsga3,20,400,441,714,0.9,0.09999999999999998
nsga3,20,400,441,366,0.9,0.09999999999999998
nsga3,20,400,441,426,0.9,0.09999999999999998
nsga3,25,500,676,273,0.9,0.09999999999999998
nsga3,25,500,676,1050,0.9,0.09999999999999998
nsga3,25,500,676,946,0.9,0.09999999999999998
nsga3,5,100,36,32,0.0,1.0
nsga3,5,100,36,21,0.0,1.0
nsga3,5,100,36,23,0.0,1.0
nsga3,5,100,36,14,0.5,0.5
nsga3,5,100,36,20,0.5,0.5
nsga3,5,100,36,35,0.5,0.5
nsga3,5,100,36,31,0.9,0.09999999999999998
nsga3,5,100,36,13,0.9,0.09999999999999998
nsga3,5,100,36,33,0.9,0.09999999999999998
nsga3,5,100,36,10,0.0,1.0
nsga3,10,200,121,64,0.0,1.0
nsga3,15,300,256,152,0.0,1.0
nsga3,20,400,441,198,0.0,1.0
nsga3,25,500,676,250,0.0,1.0
nsga3,5,100,36,35,0.0,1.0
nsga3,10,200,121,103,0.0,1.0
nsga3,15,300,256,182,0.0,1.0
nsga3,20,400,441,215,0.0,1.0
nsga3,25,500,676,273,0.0,1.0
nsga3,5,100,36,37,0.0,1.0
nsga3,5,100,36,24,0.0,1.0
nsga3,5,100,36,43,0.0,1.0
nsga3,25,500,676,418,0.5,0.5
nsga3,25,500,676,440,0.5,0.5
nsga3,25,500,676,218,0.5,0.5
nsga3,25,500,676,366,0.9,0.09999999999999998
nsga3,20,400,441,269,0.5,0.5
nsga3,20,400,441,598,0.9,0.09999999999999998
nsga3,15,300,256,175,0.5,0.5
nsga3,15,300,256,313,0.9,0.09999999999999998
nsga3,5,100,36,21,0.5,0.5
nsga3,5,100,36,16,0.9,0.09999999999999998
nsga3,25,500,676,352,0.5,0.5
nsga3,25,500,676,355,0.9,0.09999999999999998
nsga3,20,400,441,291,0.5,0.5
nsga3,20,400,441,314,0.9,0.09999999999999998
nsga3,15,300,256,277,0.5,0.5
nsga3,15,300,256,175,0.9,0.09999999999999998
nsga3,5,100,36,45,0.5,0.5
nsga3,5,100,36,15,0.9,0.09999999999999998
nsga3,25,500,676,267,0.5,0.5
nsga3,25,500,676,554,0.9,0.09999999999999998
nsga3,20,400,441,658,0.5,0.5
nsga3,20,400,441,396,0.9,0.09999999999999998
nsga3,15,300,256,264,0.5,0.5
nsga3,15,300,256,130,0.9,0.09999999999999998
nsga3,5,100,36,14,0.5,0.5
nsga3,5,100,36,22,0.9,0.09999999999999998
nsga3,25,500,676,399,0.5,0.5
nsga3,25,500,676,1162,0.9,0.09999999999999998
nsga3,20,400,441,261,0.5,0.5
nsga3,20,400,441,254,0.9,0.09999999999999998
nsga3,15,300,256,178,0.5,0.5
nsga3,15,300,256,185,0.9,0.09999999999999998
nsga3,5,100,36,21,0.5,0.5
nsga3,5,100,36,17,0.9,0.09999999999999998
nsga3,25,500,676,298,0.5,0.5
nsga3,25,500,676,485,0.9,0.09999999999999998
nsga3,20,400,441,331,0.5,0.5
nsga3,20,400,441,650,0.9,0.09999999999999998
nsga3,15,300,256,92,0.5,0.5
nsga3,15,300,256,357,0.9,0.09999999999999998
nsga3,5,100,36,17,0.5,0.5
nsga3,5,100,36,37,0.9,0.09999999999999998
nsga3,10,200,121,61,0.5,0.5
nsga3,10,200,121,131,0.9,0.09999999999999998
nsga3,10,200,121,178,0.5,0.5
nsga3,10,200,121,77,0.9,0.09999999999999998
